Task,Start,Finish,Dimension,Resource
Results of Task,3/17/2021,3/31/2021,People,Agile DevOps Culture
Establish and agree upon Agile standards/framework,1/1/2021,1/15/2021,People,Agile DevOps Culture
Communicate Agile structure to business groups,1/16/2021,1/30/2021,People,Agile DevOps Culture
Select proper tooling,1/31/2021,2/14/2021,People,Agile DevOps Culture
Results of Task,3/17/2021,3/31/2021,People,Organizational Design and Operating Model
Refine analytic data use operating model,1/1/2021,1/15/2021,People,Organizational Design and Operating Model
Define analytic persona’s and use cases,1/16/2021,1/30/2021,People,Organizational Design and Operating Model
Define operational data use operating model,1/31/2021,2/14/2021,People,Organizational Design and Operating Model
Define operational persona’s and use cases ,2/15/2021,3/1/2021,People,Organizational Design and Operating Model
Define standard ,3/2/2021,3/16/2021,People,Organizational Design and Operating Model
Results of Task,3/17/2021,3/31/2021,Process,"Delivery Methodology-Agile, RAD, DevOps, Left Testing, TDD, Low-Code"
"ID appropriate use case requirements for applying 
methodology (i.e. what are expectations from the 
business, what are deliverable expectations etc.)",4/1/2021,4/15/2021,Process,"Delivery Methodology-Agile, RAD, DevOps, Left Testing, TDD, Low-Code"
"Create template for data use stories (i.e. data sets, data presentation, data analysis, Data validation, advanced analytic stories)",4/16/2021,4/30/2021,Process,"Delivery Methodology-Agile, RAD, DevOps, Left Testing, TDD, Low-Code"
Results of Task,3/17/2021,3/31/2021,Process,Product Mgmt Evolution-Product Advisory Council
Identify product advisory council attendees,3/18/2021,4/1/2021,Process,Product Mgmt Evolution-Product Advisory Council
Create governance model/methodology,3/19/2021,4/2/2021,Process,Product Mgmt Evolution-Product Advisory Council
Results of Task,3/17/2021,3/31/2021,Process,Expansion of Managed Service Arrangements
ID all candidate roles and process to keep bench as opposed to OJT,4/1/2021,4/15/2021,Process,Expansion of Managed Service Arrangements
ID incentive and disincentive components to manage contract,4/16/2021,4/30/2021,Process,Expansion of Managed Service Arrangements
ID candidate partners for various work components,5/1/2021,5/15/2021,Process,Expansion of Managed Service Arrangements
